publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-24T19:44:11Z,@Dravoth,&quot;Holocaust Memorial Counsel&quot; what?,0
2025-11-24T19:04:44Z,@Sofia-i9y4z,Zohran ❤,1
2025-11-24T19:04:36Z,@urgeboatcomments,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=1256"">20:56</a> did we shift into a different reality?",0
2025-11-24T18:58:11Z,@steerpike66,That&#39;s a dog in a man costume. Ruff ruff ruff I ruv roo resident rump.,0
2025-11-24T18:24:11Z,@checkum9750,FOX thinks we&#39;re upset because Zoran didnt pull a Dr. King Schulz on him,0
2025-11-24T18:20:53Z,@Scrub_Sauce,&quot;This meeting really showed that Trump is capable of sitting across the table from anybody&quot; - they said after almost 5 years of him being president,0
2025-11-24T18:12:53Z,@AgapeLove878,People in this thread are hilariously out of touch.  It is so interesting to see democrat attribute incredible power to Trump ... as if he runs the world and then simultaneously think hes stupid ... your boy Condami is basically Trumps lap dog... who had control is SO incredibly evident ... Trump was being graceful to the now groveling condami.  This was a classic power play by Trump. Give his skeptics a minute and they will see.  Trump is so incredibly strategic ... every time he makes a move its with long vision....he is WAY smarter than most people...,0
2025-11-25T13:58:34Z,@Disgruntled_pelican1,"😂 Stop, this is so embarrassing for you.",0
2025-11-24T18:03:51Z,@robinbanks644,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=229"">3:49</a> this dude is not a psycho, his 3 brain cells barely give him the ability to speak and master the art of breathing. Its just extremely dumb people,which you have a shit ton of.",0
2025-11-24T18:01:17Z,@JeremyKing-n7h,"Honestly that interview with Zohran was the happiest Trump has looked in a while, it looked like he was even smiling in the same way Zohran does",0
2025-11-24T18:01:05Z,@keenanwatkins532,People don’t understand this is healthy. Two people with opposite opinions meeting together to find a common ground. We all should do that more.,1
2025-11-24T17:57:29Z,@ryanwc67,"tRUMP IS LIKLY RUNNING A 100 SCAMS IN NEWYORK, THE MAYOR LOOKING HIS WAY SCARES HIM",0
2025-11-24T17:53:12Z,@nickolasecker9596,"Even some Dems are condemning Mamdani for the meeting as if Trump didn’t threaten to cut nyc’s fed funding. He had to go in there like it or not, and just compliment Trump until he was eating out of his hand. Now he loves Mamdani. He’s literally like a child, he gravitates towards whoever is nice to him. I love that this screwed the entire narrative of it being a showdown and ruined the whole “Trump’s gonna give Mamdani a spanking, how dare he state that he’s a democratic socialist, how dare the people of ny vote for someone that promised to deliver on the legitimate affordability crisis when that was our whole platform until we got into office?”",2
2025-11-24T17:41:37Z,@amb0327,Cuomo prolly punching the air after seeing this meeting.,0
2025-11-24T17:39:25Z,@Thecultofwrestling,It was such a smart move politically for zohran to get on trumps good side,0
2025-11-24T17:32:29Z,@bigsunnilabeouf,"I don&#39;t know how you can say that people like this or QAnon are insincere. They very clearly believe what they&#39;re saying. They&#39;re stupid, not dishonest.",0
2025-11-24T17:28:32Z,@bradenslater6200,"Why do people even listen to Hasan? He is a rich hypocrite praising socialism. If you think socialism is a good thing, you are grossly uneducated and lacking any kind of empathy for the tens of millions that died under it.",1
2025-11-24T21:35:36Z,@redorangefilth,No one has ever died under capitalism,1
2025-11-24T22:31:10Z,@bradenslater6200,@redorangefilthInfinitely less than communism. Hasan benefits the most from capitalism. He knows most kids 18-24 know nothing of socialism and want to be edgy and appear smart by being anti capitalist.,1
2025-11-24T22:44:08Z,@redorangefilth,@bradenslater6200 you think infinitely less people have died under the dominant world economic system for 500 years.  That’s just not numerically plausible.  You’re not participating in reality,4
2025-11-25T09:24:53Z,@bradenslater6200,​@redorangefilth At least I don&#39;t listen to Hasan lmao,0
2025-11-24T17:14:17Z,@Archbeta,When will you host a Donation = shock per second event Hasan????,1
2025-11-24T17:09:43Z,@oldunion,"Hannity, Net worth $300M with annual salary of $45 million.",0
2025-11-24T17:06:53Z,@forthelasttime4403,Time to shock my dog!,1
2025-11-24T16:57:10Z,@skibidirizzlerzc02,does anyone know if hasan is going to hold a funeral after he induced a fatal heart attack in kaya?? is he ever going to accept bad empanda&#39;s debate challenge?? when is going to respond to more pegasus??,1
2025-11-24T17:20:05Z,@Amir_97,over 100 comments under this channel as a hater is insane,1
2025-11-24T17:24:09Z,@skibidirizzlerzc02,​@Amir_97are you going to answer my questions or just sit there and deflect,1
2025-11-24T17:32:31Z,@Amir_97,@skibidirizzlerzc02 I just answered it in detail what was promised and it destroys the whole narrative that the current president does a good job,0
2025-11-24T18:09:17Z,@bigsunnilabeouf,Loser with no life,1
2025-11-24T18:49:59Z,@skibidirizzlerzc02,​@Amir_97can you repost i can only see ur comment saying i had too many comments on here,1
2025-11-24T16:48:25Z,@jonathanking8800,Why do people think Zohran isn&#39;t a fascist?,3
2025-11-25T02:14:03Z,@AnitaNitaNitus,Because he simply isn&#39;t lol,1
2025-11-24T16:27:19Z,@katharinapeters6710,⚡🐶,3
2025-11-24T17:20:33Z,@Amir_97,🐀⏰,0
2025-11-24T19:01:33Z,@katharinapeters6710,@Amir_97 hows life treating you? has the IDF finished a few of your buddies recently?,1
2025-11-24T16:25:01Z,@dumpstercheese,"Who is Bubba, and why did DJT throat hug him?<br>-Full Transparency",1
2025-11-24T16:22:18Z,@dumpstercheese,"tRump can&#39;t steal the Momdominator&#39;s rizz, even with a better fitting coat from this era, complete with vagina neck covering",1
2025-11-24T16:21:34Z,@Cendy-x8z,Shocking,3
2025-11-24T16:19:44Z,@davidvaughnstraughn,So this is why the Giants suck this yr,1
2025-11-24T16:12:01Z,@vrbattlerap,Get tired of the yelling .. gotta unsub,2
2025-11-24T16:09:24Z,@Dude_of_the_Commons,"This is sad, debate Badempanada <a href=""https://www.youtube.com/watch?v=1Zb6fZCqdrQ"">https://www.youtube.com/watch?v=1Zb6fZCqdrQ</a>",3
2025-11-24T16:06:20Z,@theducki6948,FREE THE UYGHUR PEOPLE! FREE THE UYGHUR PEOPLE!,4
2025-11-24T18:13:30Z,@bigsunnilabeouf,Cenk?,0
2025-11-24T16:06:04Z,@twinewinder1,"These morons still toting this &quot;domestic production angle.&quot; Gas and oil is down because OPEC has increased production, which has harmed domestic production.",0
2025-11-24T16:01:18Z,@RemebrancerArgentum,Have you seen that fake news post about Marco Rubio exposing Mamdani as a fake socialist spending daddy&#39;s money and shutting him up on Fox? The amount of Rubens ODing on copium and celebrating it is a condemnatory statement against democracy being a valid method of government.,0
2025-11-24T15:57:11Z,@teresmajor7956,What do these mfs thought Cuomo was doing good that Mamdani won’t? I’m very fucking curious.,0
2025-11-24T15:54:18Z,@perchperkins_8827,“Pwesident Twump”,2
2025-11-24T15:51:58Z,@lucasmurphy740,"“Will he get back to his extremist, name calling self when he gets back to New York”<br><br>Saying that about Zohran instead of the quintessential name-caller trump is crazy",0
2025-11-24T15:46:09Z,@dingo_dude,Long live the glorious reign of Mamdani-Trump woke MAGA Communism,0
2025-11-24T15:40:01Z,@kauaiaguya,How much do you think they talked about Broadway 😂,1
2025-11-24T15:39:28Z,@monica012077,"You notice how Fox won&#39;t air Mamdani speaking. Just Trump clips. What&#39;s the point of Fox covering this? Trump sound&#39;s like a socialist lmaooo. <a href=""http://www.youtube.com/results?search_query=%23taco"">#taco</a>",2
2025-11-24T15:35:39Z,@IndepIndepWALT,He made fox news sounds like MSNBC or cnn,1
2025-11-24T15:15:20Z,@MecanoGames,"Thats how politics should be... no name calling, no finger pointing, only focus on the issues. With respect.<br><br>Of course everyone has his ideas of success, but real discussions lead to real solutions. Shouting match lead nowhere.",0
2025-11-24T18:16:09Z,@bigsunnilabeouf,"The problem with modern American politics isn&#39;t people shouting or being uncivil. It&#39;s the fact that the Republicans are increasingly becoming the party of white nationalism and fascism, and the Democrats are largely unwilling to do what it takes to stop them.",0
2025-11-24T15:13:33Z,@imsomeguyonutube,Shocking dogs is wrong. You&#39;re an evil person.,8
2025-11-24T15:20:51Z,@Philo-t4v,how is it feel to be so easily manipulated? are you a little kid?,8
2025-11-24T15:31:44Z,@imsomeguyonutube,"@Philo-t4v Straight to insults. No suprises there, you people are all the same. Animal cruelty is wrong.",6
2025-11-24T17:21:50Z,@Amir_97,@imsomeguyonutube he didn&#39;t insult you,1
2025-11-24T17:22:33Z,@Amir_97,@imsomeguyonutube<br>good thing he never shocked his dog. But asmongold for example did use a rat as an alarm clock,3
2025-11-24T17:51:44Z,@Philo-t4v,@imsomeguyonutube because that is a lie LOL he&#39;s not abusing his dog... you&#39;re being lied brother,1
2025-11-24T15:12:04Z,@zohircherifi5616,Maga has 0 brain cells remaining,3
2025-11-24T15:10:23Z,@risingmojofilter,I don&#39;t know how I feel about a supposed socialist glad-handing the fuhrer.,0
2025-11-24T15:09:10Z,@KantoKait,"<a href=""https://www.youtube.com/watch?v=oZBzUIA26eU&amp;t=1050"">17:30</a><br>Trump was taking it from Bubba :3",1
2025-11-24T15:08:19Z,@williamkarbala5718,"Trump supporters shrug when he kisses dictators&#39; ass&#39;s, but he praises a D.socialist and they freak out. I swear the lack of self-reflection is actually impressive.",0
2025-11-24T15:06:27Z,@KIM_DOTNET,"If Trump likes Mamdani, MAGA likes Mamdani. Watch MAGA agree with socialist/social democratic views. 😂<br><br>Wouldn’t that be funny? I hope this opens peoples eyes.",1
2025-11-24T15:03:28Z,@olg05001,Around 18 minutes mark I think that you are 100% wrong. This new guy has the moment but nobody outside of maybe Trump and Obama and maybe Michelle are bigger celebrities than AOC. It used to be a boast when a show with parody AOC or say her name and that was about five years ago now they are so many references priorities characters that are inspired by AOC that is insane. Literally the secret big bad to the most popular streaming show in America at the time the boys was a parody AOC,0
2025-11-24T15:03:28Z,@dylantallman,I&#39;d love to see how that meeting would&#39;ve gone if Andrew &quot;Only I Can Stand Up To Trump&quot; Cuomo had won. I just know he would&#39;ve spent the whole time glazing a VERY bored Trump 😂,0
2025-11-24T15:02:08Z,@Echonode37,💯 The only currency right-wing populists have is enemy-within hate,0
2025-11-24T15:01:10Z,@ILLiteSociety,"Man…that mansion in cali, and that money spread in china after making a mockery of 75 million civilian deaths sure is showing that “empathetic” side of the anti-capitalism leftist ignorance 😂😂😂. Your fans are as brain ☠️ as you my guy. Should be ashamed of yourself for taking their money to buy that mansion and go bet on horses. Should’ve given it all away to homeless people! 😂😂😂",0
2025-11-24T14:59:33Z,@merlumili,"I absolutely lost it at the fact that he posted a photo reel of him and Zohran, including a solo shot for Zohran. He loves him lmao",0
2025-11-24T14:53:32Z,@janicej3436,So incredibly stupid of pearl-clutchers to have a problem with Trump &amp; Mamdani wanting to work together for the benefit of NYC.,0
2025-11-24T14:49:47Z,@janicej3436,Trump’s position changes on whoever he speaks to last &amp; definitely after his donors remind him he should be 100% MIGA - not 99.9%.,0
2025-11-24T14:43:43Z,@xbronn,i figured it out. maga uses sgd (stochastic gradient descent) and batch normalization to arrive at their positions for today,0
2025-11-24T14:34:03Z,@LivinglikeJay-iq3io,maga: WE LIKE MAN THINGS! 💪🇺🇸,0
2025-11-24T14:33:54Z,@poppashot,"Fox News does not know how to not be divisive. Sean Hannity is already stoking the flames of leftists to turn against Mamdani by saying, &quot;This is really only horrifying for Democrats... Now their far-left hero is shaking hands with the guy they call a fascist...&quot; It&#39;s like, bro, we thought it was hilarious that Mamdani turned your daddy into a blushing little fanboy. Like, what are you even talking about, my guy?",0
2025-11-24T14:32:19Z,@th1nkcr1tical,I don&#39;t understand how that orange blob is brainwashed so many people,1
2025-11-24T15:29:07Z,@uDaniels,they&#39;re smart enough to sense the system is failing and they feel like they gotta do something to fix it but they&#39;re not smart enough to figure out trump and his billionaire buddies are the problem not the solution.,0
2025-11-24T14:29:42Z,@sockvine35,"All these leftists out with their nice spin on this. I think Trump effectively undermined Zohran by forcing him into a position where he seemed weak, standing politely next to a man who he knows is a fascist and a war criminal. I think Trump succeeded at in this initial meeting anyway. But I have hopes he will navigate it better moving forward.<br><br>But it was a major, completely vibes based move by Trump no doubt no doubt",0
2025-11-24T14:29:16Z,@pennative,These ghouls deliberately mispronouncing mamdani as mandami is actually annoying. Islamophobia,0
